全国地方公共団体コード,ID,都道府県名,市区町村名,種別,所在地_全国地方公共団体コード,所在地_連結標記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,口径,備考
173843,MM0000000001,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町阿川ア34,石川県,志賀町,阿川ア,34,,37.175337872921936,136.77927648915164,65.0,
173843,MM0000000002,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町阿川ア38,石川県,志賀町,阿川ア,38,,37.17636858626518,136.77787514508356,65.0,
173843,MM0000000003,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安津見１８98付近,石川県,志賀町,安津見１８,98付近,,37.019157460885886,136.82712930111293,65.0,
173843,MM0000000004,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安津見３８14-1付近,石川県,志賀町,安津見３８,14-1付近,,37.02066335041359,136.82588825472342,65.0,
173843,MM0000000005,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安津見４０18-5,石川県,志賀町,安津見４０,18-5,,37.01812886385135,136.8224856958774,65.0,
173843,MM0000000006,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安津見４０1付近,石川県,志賀町,安津見４０,1付近,,37.016629126992655,136.82110918696688,65.0,
173843,MM0000000007,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安津見４０7付近,石川県,志賀町,安津見４０,7付近,,37.01727799071231,136.82152554933165,65.0,
173843,MM0000000008,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安津見４０30付近,石川県,志賀町,安津見４０,30付近,,37.0187124100953,136.82334447809657,65.0,
173843,MM0000000009,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安津見４１49-5付近,石川県,志賀町,安津見４１,49-5付近,,37.01786410444028,136.8219169625609,65.0,
173843,MM0000000010,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安津見４４1-3付近,石川県,志賀町,安津見４４,1-3付近,,37.01572408554074,136.81971293116618,65.0,
173843,MM0000000011,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安津見４６10-2付近,石川県,志賀町,安津見４６,10-2付近,,37.013616656761855,136.81661820845227,65.0,
173843,MM0000000012,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安津見４６17付近,石川県,志賀町,安津見４６,17付近,,37.013818010863126,136.81693072837814,65.0,
173843,MM0000000013,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安津見４６19付近,石川県,志賀町,安津見４６,19付近,,37.01397932113534,136.81716934649845,65.0,
173843,MM0000000014,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安津見４７111-3付近,石川県,志賀町,安津見４７,111-3付近,,37.0123073081996,136.81562121442207,65.0,
173843,MM0000000015,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安津見５６40付近,石川県,志賀町,安津見５６,40付近,,37.01857835082585,136.81413903917831,65.0,
173843,MM0000000016,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安津見６７67-1付近,石川県,志賀町,安津見６７,67-1付近,,37.01939915307464,136.8141857274666,65.0,
173843,MM0000000017,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安津見７71-2付近,石川県,志賀町,安津見７,71-2付近,,37.01477671641927,136.82109414829733,65.0,
173843,MM0000000018,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安津見７４17付近,石川県,志賀町,安津見７４,17付近,,37.01758683386781,136.81135262448092,65.0,
173843,MM0000000019,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安津見７４12付近,石川県,志賀町,安津見７４,12付近,,37.016881755857945,136.81136160655805,65.0,
173843,MM0000000020,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安津見８８1-2,石川県,志賀町,安津見８８,1-2,,37.00537382778949,136.80429807090587,65.0,
173843,MM0000000021,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安津見り15-2付近,石川県,志賀町,安津見り,15-2付近,,37.0196891688609,136.82631110510513,65.0,
173843,MM0000000022,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安津見己1-2付近,石川県,志賀町,安津見己,1-2付近,,37.01723598981992,136.81302493534477,65.0,
173843,MM0000000023,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安部屋189,石川県,志賀町,安部屋,189,,37.01231592134306,136.7564235161082,65.0,
173843,MM0000000024,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安部屋189,石川県,志賀町,安部屋,189,,37.010757343594754,136.75449106782028,65.0,
173843,MM0000000025,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安部屋イ133-2,石川県,志賀町,安部屋イ,133-2,,37.0078255694007,136.7558916366855,65.0,
173843,MM0000000026,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安部屋イ145-2付近,石川県,志賀町,安部屋イ,145-2付近,,37.00847053904307,136.75492917963186,65.0,
173843,MM0000000027,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安部屋イ19-1付近,石川県,志賀町,安部屋イ,19-1付近,,37.00766080865611,136.7582826373423,65.0,
173843,MM0000000028,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安部屋イ21付近,石川県,志賀町,安部屋イ,21付近,,37.00783730913186,136.7574000515667,65.0,
173843,MM0000000029,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安部屋イ53付近,石川県,志賀町,安部屋イ,53付近,,37.008685179232366,136.75658142334615,65.0,
173843,MM0000000030,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安部屋ハ103付近,石川県,志賀町,安部屋ハ,103付近,,37.00956667378118,136.75567060349258,65.0,
173843,MM0000000031,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安部屋ロ117付近,石川県,志賀町,安部屋ロ,117付近,,37.007198712031645,136.75492138613552,65.0,
173843,MM0000000032,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安部屋ワ12-2,石川県,志賀町,安部屋ワ,12-2,,37.01372707395808,136.75640698443664,65.0,
173843,MM0000000033,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安部屋甲410,石川県,志賀町,安部屋甲,410,,37.01505291305219,136.75759990601352,65.0,
173843,MM0000000034,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安部屋甲441,石川県,志賀町,安部屋甲,441,,37.01609681558396,136.75739809756786,65.0,
173843,MM0000000035,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町安部屋寅1-1付近,石川県,志賀町,安部屋寅,1-1付近,,37.009676588353834,136.75348091565868,65.0,
173843,MM0000000036,石川県,志賀町,消火栓,173843,石川県羽咋郡志賀町稲敷イ226,石川県,志賀町,稲敷イ,226,,37.165779471904656,136.71062239868405,65.0,
